Player,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,Best Move
1,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,1,1,1,1,0,0,0,2,2,1,0,2,0,0,2,2,2,1,1,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,21
2,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,2,2,1,0,2,0,0,2,2,2,1,1,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,37
1,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,1,2,1,1,0,0,0,2,2,2,2,2,0,0,2,2,2,2,1,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,50
2,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,1,2,1,1,0,0,0,2,2,1,2,2,0,0,2,2,1,2,1,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,59
1,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,1,2,1,1,0,0,0,2,2,1,2,2,0,0,2,2,1,2,1,0,0,0,2,2,2,0,0,0,0,2,0,0,2,0,0,0,0,1
2,1,1,0,0,0,0,0,0,2,1,2,2,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,1,2,1,1,0,0,0,2,2,1,2,2,0,0,2,2,1,2,1,0,0,0,2,2,2,0,0,0,0,2,0,0,2,0,0,0,0,13
1,1,1,0,0,0,0,0,0,2,1,2,2,0,2,0,0,1,1,1,2,2,2,0,0,0,0,0,2,2,2,1,0,0,0,2,2,1,2,2,0,0,2,2,1,2,1,0,0,0,2,2,2,0,0,0,0,2,0,0,2,0,0,0,0,2
2,1,1,1,0,0,0,0,0,2,1,1,2,0,2,0,0,1,1,1,2,2,2,0,0,0,0,0,2,2,2,1,0,0,0,2,2,1,2,2,0,0,2,2,1,2,1,0,0,0,2,2,2,0,0,0,0,2,0,0,2,0,0,0,0,39
1,1,1,1,0,0,0,0,0,2,1,1,2,0,2,0,0,1,1,1,2,2,2,0,0,0,0,0,2,2,2,2,0,0,0,2,2,1,2,2,2,0,2,2,1,2,1,0,0,0,2,2,2,0,0,0,0,2,0,0,2,0,0,0,0,22
2,1,1,1,0,0,0,0,0,2,1,1,2,0,2,0,0,1,1,1,1,1,1,1,0,0,0,0,2,2,1,2,0,0,0,2,2,1,2,2,2,0,2,2,1,2,1,0,0,0,2,2,2,0,0,0,0,2,0,0,2,0,0,0,0,31
1,1,1,1,0,0,0,0,0,2,1,1,2,0,2,0,0,1,1,1,1,1,1,2,0,0,0,0,2,2,1,2,2,0,0,2,2,1,2,2,2,0,2,2,1,2,1,0,0,0,2,2,2,0,0,0,0,2,0,0,2,0,0,0,0,57
2,1,1,1,0,0,0,0,0,2,1,1,2,0,2,0,0,1,1,1,1,1,1,2,0,0,0,0,2,2,1,2,2,0,0,2,2,1,2,2,2,0,2,2,1,2,1,0,0,0,2,1,2,0,0,0,0,2,1,0,2,0,0,0,0,26
1,1,1,1,0,0,0,0,0,2,1,1,2,0,2,0,0,1,2,1,1,1,1,2,0,0,0,2,2,2,1,2,2,0,0,2,2,1,2,2,2,0,2,2,1,2,1,0,0,0,2,1,2,0,0,0,0,2,1,0,2,0,0,0,0,52
2,1,1,1,0,0,0,0,0,2,1,1,2,0,2,0,0,1,2,1,1,1,1,2,0,0,0,2,2,2,1,2,2,0,0,2,2,1,2,2,2,0,2,2,1,1,1,0,0,0,2,1,1,1,0,0,0,2,1,0,2,0,0,0,0,12
1,1,1,1,0,0,0,0,0,2,1,1,2,2,2,0,0,1,2,1,2,2,2,2,0,0,0,2,2,2,1,2,2,0,0,2,2,1,2,2,2,0,2,2,1,1,1,0,0,0,2,1,1,1,0,0,0,2,1,0,2,0,0,0,0,4
2,1,1,1,0,1,0,0,0,2,1,1,1,1,2,0,0,1,2,1,2,1,2,2,0,0,0,2,2,1,1,2,2,0,0,2,2,1,2,2,2,0,2,2,1,1,1,0,0,0,2,1,1,1,0,0,0,2,1,0,2,0,0,0,0,58
1,1,1,1,0,1,0,0,0,2,1,1,1,1,2,0,0,1,2,1,2,1,2,2,0,0,0,2,2,1,1,2,2,0,0,2,2,1,2,2,2,0,2,2,1,2,1,0,0,0,2,2,2,1,0,0,0,2,2,2,2,0,0,0,0,15
2,1,1,1,0,1,0,0,0,2,1,1,1,1,2,0,1,1,2,1,2,1,2,1,0,0,0,2,2,1,1,2,2,0,0,2,2,1,2,2,2,0,2,2,1,2,1,0,0,0,2,2,2,1,0,0,0,2,2,2,2,0,0,0,0,46
1,1,1,1,0,1,0,0,0,2,1,1,1,1,2,0,1,1,2,1,2,1,2,1,0,0,0,2,2,1,1,2,2,0,0,2,2,1,2,2,2,0,2,2,1,2,2,2,0,0,2,2,2,1,0,0,0,2,2,2,2,0,0,0,0,5
2,1,1,1,0,1,1,0,0,2,1,1,1,1,1,0,1,1,2,1,2,1,1,1,0,0,0,2,2,1,1,2,2,0,0,2,2,1,2,2,2,0,2,2,1,2,2,2,0,0,2,2,2,1,0,0,0,2,2,2,2,0,0,0,0,61
1,1,1,1,0,1,1,0,0,2,1,1,1,1,1,0,1,1,2,1,2,1,1,1,0,0,0,2,2,1,1,2,2,0,0,2,2,1,2,2,2,0,2,2,2,2,2,2,0,0,2,2,2,2,0,0,0,2,2,2,2,0,2,0,0,60
2,1,1,1,0,1,1,0,0,2,1,1,1,1,1,0,1,1,2,1,2,1,1,1,0,0,0,2,2,1,1,2,2,0,0,2,2,1,2,2,2,0,2,2,2,1,2,2,0,0,2,2,2,1,0,0,0,2,2,2,2,1,2,0,0,23
1,1,1,1,0,1,1,0,0,2,1,1,1,1,1,0,1,1,2,1,2,2,2,2,2,0,0,2,2,1,1,2,2,0,0,2,2,1,2,2,2,0,2,2,2,1,2,2,0,0,2,2,2,1,0,0,0,2,2,2,2,1,2,0,0,24
2,1,1,1,0,1,1,0,0,2,1,1,1,1,1,0,1,1,1,1,2,2,2,2,2,1,0,2,2,1,1,2,2,0,0,2,2,1,2,2,2,0,2,2,2,1,2,2,0,0,2,2,2,1,0,0,0,2,2,2,2,1,2,0,0,53
1,1,1,1,0,1,1,0,0,2,1,1,1,1,1,0,1,1,1,1,2,2,2,2,2,1,0,2,2,1,1,2,2,0,0,2,2,1,2,2,2,0,2,2,2,2,2,2,0,0,2,2,2,2,2,0,0,2,2,2,2,1,2,0,0,47
2,1,1,1,0,1,1,0,0,2,1,1,1,1,1,0,1,1,1,1,2,2,2,2,1,1,0,2,2,1,1,2,1,0,0,2,2,1,2,1,1,0,2,2,2,2,2,2,1,0,2,2,2,2,2,0,0,2,2,2,2,1,2,0,0,32
1,1,1,1,0,1,1,0,0,2,1,1,1,1,1,0,1,2,1,1,2,2,2,2,1,2,0,2,2,1,1,2,1,2,0,2,2,1,2,1,1,0,2,2,2,2,2,2,1,0,2,2,2,2,2,0,0,2,2,2,2,1,2,0,0,40
2,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,2,2,2,2,1,1,0,2,2,1,1,2,1,1,0,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,0,0,2,2,2,2,1,2,0,0,48
1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,2,2,2,2,1,1,0,2,2,1,1,2,1,1,0,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,0,0,2,2,2,2,1,2,0,0,14
2,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,2,2,1,1,1,1,1,0,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,0,0,2,2,2,2,1,2,0,0,6
1,1,1,1,0,1,1,2,0,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,0,2,2,1,1,1,1,1,0,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,0,0,2,2,2,2,1,2,0,0,33
2,1,1,1,0,1,1,2,0,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,0,0,2,2,2,2,1,2,0,0,3
1,1,1,1,2,2,2,2,0,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,0,0,2,2,2,2,1,2,0,0,7
2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,0,0,2,2,2,2,1,2,0,0,55
1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,0,2,2,2,2,2,1,2,0,0,62
2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,0,2,2,2,2,2,1,1,1,0,25
1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,0,2,2,2,2,2,1,1,1,0,54
2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,0,63
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
